Altium Designer Pick and Place Locations
E:\AD\ch438\Project Outputs for PCB_CH438\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       16/01/22
Time:       16:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Y1","32.768KHz","TopLayer","SMD-3215_2P_FC_-_135","362.408mil","1190.000mil","90","ÌùÆ¬¾§Õñ"
"Y3","22.1184MHz","TopLayer","SMD-3225_4P","2660.000mil","1815.000mil","90","ÌùÆ¬¾§Õñ"
"Y2","8MHz","TopLayer","SMD-3225_4P","740.000mil","1005.000mil","0","ÌùÆ¬¾§Õñ"
"C88","10uF","TopLayer","0603_C","475.000mil","1658.354mil","360","ÌùÆ¬µçÈİ"
"C11","0.1uF","TopLayer","1608[0603]","165.000mil","2040.000mil","360","Capacitor (Semiconductor SIM Model)"
"C60","104","TopLayer","0603_C","1745.000mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C59","104","TopLayer","0603_C","2376.250mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C58","104","TopLayer","0603_C","1878.740mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C57","104","TopLayer","0603_C","2511.929mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C56","104","TopLayer","0603_C","1615.315mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C55","104","TopLayer","0603_C","2240.000mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C54","104","TopLayer","0603_C","1425.000mil","588.975mil","90","ÌùÆ¬µçÈİ"
"C53","104","TopLayer","0603_C","2051.934mil","588.975mil","90","ÌùÆ¬µçÈİ"
"C52","104","TopLayer","0603_C","1425.000mil","905.000mil","270","ÌùÆ¬µçÈİ"
"C51","104","TopLayer","0603_C","2051.934mil","905.315mil","270","ÌùÆ¬µçÈİ"
"C50","104","TopLayer","0603_C","3010.000mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C49","104","TopLayer","0603_C","3620.000mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C48","104","TopLayer","0603_C","3146.850mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C47","104","TopLayer","0603_C","3760.000mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C46","104","TopLayer","0603_C","2879.685mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C45","104","TopLayer","0603_C","3475.000mil","558.975mil","180","ÌùÆ¬µçÈİ"
"C44","104","TopLayer","0603_C","2694.808mil","588.975mil","90","ÌùÆ¬µçÈİ"
"C43","104","TopLayer","0603_C","3294.808mil","588.975mil","90","ÌùÆ¬µçÈİ"
"C42","104","TopLayer","0603_C","2694.808mil","895.000mil","270","ÌùÆ¬µçÈİ"
"C41","104","TopLayer","0603_C","3294.808mil","895.000mil","270","ÌùÆ¬µçÈİ"
