Altium Designer Pick and Place Locations
E:\AD\ch438\Project Outputs for PCB_CH438\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       19/02/22
Time:       16:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R11","1K¦¸","TopLayer","0603_R","2075.000mil","1545.000mil","90","ÌùÆ¬µç×è"
"R3","10K¦¸ ","TopLayer","0603_R","1291.480mil","1785.000mil","180","ÌùÆ¬µç×è"
"C20","104","TopLayer","0603_C","115.000mil","1875.000mil","360","ÌùÆ¬µçÈİ"
"C18","22uF ","TopLayer","0603_C","115.000mil","1800.000mil","0","ÌùÆ¬µçÈİ"
"C15","104","TopLayer","0603_C","381.183mil","1910.000mil","90","ÌùÆ¬µçÈİ"
"C14","22uF ","TopLayer","0603_C","302.927mil","1910.000mil","90","ÌùÆ¬µçÈİ"
"C11","104","TopLayer","0603_C","375.000mil","1550.000mil","90","ÌùÆ¬µçÈİ"
"C10","104","TopLayer","0603_C","2150.000mil","1645.000mil","270","ÌùÆ¬µçÈİ"
"C9","104","TopLayer","0603_C","2150.000mil","1500.000mil","90","ÌùÆ¬µçÈİ"
"C8","104","TopLayer","0603_C","1290.000mil","1707.755mil","0","ÌùÆ¬µçÈİ"
"C3","100pF ","BottomLayer","0603_C","2070.000mil","1450.000mil","180","ÌùÆ¬µçÈİ"
"C2","100pF ","TopLayer","0603_C","1498.307mil","1180.000mil","0","ÌùÆ¬µçÈİ"
"R_PWR","1K¦¸ (1001) ¡À1%","TopLayer","0603_R","200.000mil","1060.000mil","270","ÌùÆ¬µç×è"
"PWR","À¶µÆ 0603","TopLayer","0603_LED_S1","125.000mil","1061.035mil","270","·¢¹â¶ş¼«¹Ü"
"C7","18pF","TopLayer","0603_C","818.400mil","909.055mil","180","ÌùÆ¬µçÈİ"
"Y1","32.768KHz","TopLayer","SMD-3215_2P_FC_-_135","415.000mil","955.000mil","90","ÌùÆ¬¾§Õñ"
"Y3","22.1184MHz","TopLayer","SMD-3225_4P","2325.000mil","1575.000mil","90","ÌùÆ¬¾§Õñ"
"Y2","8MHz","TopLayer","SMD-3225_4P","750.315mil","769.370mil","0","ÌùÆ¬¾§Õñ"
"C88","10uF","TopLayer","0603_C","595.000mil","1550.000mil","90","ÌùÆ¬µçÈİ"
"C60","104","TopLayer","0603_C","1424.808mil","530.000mil","180","ÌùÆ¬µçÈİ"
"C59","104","TopLayer","0603_C","2001.058mil","534.290mil","180","ÌùÆ¬µçÈİ"
"C58","104","TopLayer","0603_C","1554.808mil","530.000mil","180","ÌùÆ¬µçÈİ"
"C57","104","TopLayer","0603_C","2136.737mil","534.290mil","180","ÌùÆ¬µçÈİ"
"C56","104","TopLayer","0603_C","1294.808mil","530.000mil","180","ÌùÆ¬µçÈİ"
"C55","104","TopLayer","0603_C","1864.808mil","534.290mil","180","ÌùÆ¬µçÈİ"
"C54","104","TopLayer","0603_C","1149.808mil","670.000mil","90","ÌùÆ¬µçÈİ"
"C53","104","TopLayer","0603_C","1739.808mil","670.000mil","90","ÌùÆ¬µçÈİ"
"C52","104","TopLayer","0603_C","1149.808mil","811.748mil","270","ÌùÆ¬µçÈİ"
"C51","104","TopLayer","0603_C","1739.808mil","811.748mil","270","ÌùÆ¬µçÈİ"
"C50","104","TopLayer","0603_C","2579.808mil","534.290mil","180","ÌùÆ¬µçÈİ"
"C49","104","TopLayer","0603_C","3174.808mil","534.290mil","180","ÌùÆ¬µçÈİ"
"C48","104","TopLayer","0603_C","2716.659mil","534.290mil","180","ÌùÆ¬µçÈİ"
"C47","104","TopLayer","0603_C","3314.808mil","534.290mil","180","ÌùÆ¬µçÈİ"
"C46","104","TopLayer","0603_C","2449.493mil","534.290mil","180","ÌùÆ¬µçÈİ"
"C45","104","TopLayer","0603_C","3029.808mil","534.290mil","180","ÌùÆ¬µçÈİ"
"C44","104","TopLayer","0603_C","2319.808mil","670.000mil","90","ÌùÆ¬µçÈİ"
"C43","104","TopLayer","0603_C","2889.808mil","670.000mil","90","ÌùÆ¬µçÈİ"
"C42","104","TopLayer","0603_C","2319.808mil","811.748mil","270","ÌùÆ¬µçÈİ"
"C41","104","TopLayer","0603_C","2889.808mil","811.748mil","270","ÌùÆ¬µçÈİ"
"C40","104","TopLayer","0603_C","3160.000mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C39","104","TopLayer","0603_C","2582.166mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C38","104","TopLayer","0603_C","3305.000mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C24","104","TopLayer","0603_C","1735.000mil","2282.382mil","90","ÌùÆ¬µçÈİ"
"C22","104","TopLayer","0603_C","1735.000mil","2437.382mil","270","ÌùÆ¬µçÈİ"
"C21","104","TopLayer","0603_C","1140.000mil","2437.382mil","270","ÌùÆ¬µçÈİ"
"RESET","TS-1102SD-C-C-B","TopLayer","SW-SMD_4P-L6.0-W6.0-P4.50-LS9.2","147.756mil","685.000mil","270",""
"R7","10K¦¸","BottomLayer","0603_R","1130.000mil","1250.000mil","180","ÌùÆ¬µç×è"
"R5","10K¦¸","TopLayer","0603_R","450.315mil","1289.370mil","180","ÌùÆ¬µç×è"
"3V3","CJA1117B-3v3","TopLayer","SOT-89_L4.5-W2.5-P1.50-LS4.2-BR","146.320mil","2080.671mil","270",""
"USB1","MICROXNJ","TopLayer","MICRO-USB-SMD_MICROXNJ","195.000mil","2595.002mil","270",""
"U12","MAX232D","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","1424.541mil","746.475mil","360",""
"U11","MAX232D","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","2004.616mil","748.975mil","360",""
"U10","MAX232D","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","2579.537mil","748.975mil","360",""
"U9","MAX232D","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","3154.808mil","748.975mil","360",""
"U8","MAX232D","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","3170.123mil","2344.882mil","360",""
"U7","MAX232D","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","2579.729mil","2344.882mil","360",""
"U6","MAX232D","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","2004.808mil","2344.882mil","360",""
"U5","MAX232D","TopLayer","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","1410.000mil","2344.882mil","360",""
"CH340","CH340C","TopLayer","SOIC-16_150mil","768.715mil","2466.417mil","180","USB"
"CH438","CH438","TopLayer","LQFP-44_L10.0-W10.0-P0.80-LS12.0-BL","1655.787mil","1480.000mil","0",""
"C8T6","STM32F103C8T6","TopLayer","LQFP48_N","773.715mil","1264.055mil","90","STM32 ARM-based 32-bit MCU with 64 Kbytes Flash, 48-pin LQFP, Industrial Temperature"
"R10","1K¦¸","TopLayer","0603_R","763.400mil","1964.842mil","180","ÌùÆ¬µç×è"
"R9","1K¦¸","TopLayer","0603_R","763.400mil","2104.094mil","0","ÌùÆ¬µç×è"
"R8","1K¦¸","TopLayer","0603_R","763.400mil","2246.393mil","0","ÌùÆ¬µç×è"
"R6","10K¦¸","TopLayer","0603_R","330.000mil","2260.000mil","180","ÌùÆ¬µç×è"
"R4","10K¦¸","BottomLayer","0603_R","989.685mil","968.740mil","360","ÌùÆ¬µç×è"
"R2","1M¦¸","TopLayer","0603_R","750.315mil","629.055mil","0","ÌùÆ¬µç×è"
"R1","10K¦¸","BottomLayer","0603_R","350.000mil","965.000mil","90","ÌùÆ¬µç×è"
"Q2","SS8550","TopLayer","SOT-23(SOT-23-3)","603.715mil","2014.055mil","90","Èı¼«¹Ü"
"Q1","SS8050","TopLayer","SOT-23(SOT-23-3)","603.715mil","2185.506mil","90","Èı¼«¹Ü"
"COM7","Header 4H","TopLayer","HDR1X4H","1426.753mil","345.000mil","360","Header, 4-Pin, Right Angle"
"COM6","Header 4H","TopLayer","HDR1X4H","1991.737mil","345.000mil","360","Header, 4-Pin, Right Angle"
"COM5","Header 4H","TopLayer","HDR1X4H","2566.659mil","345.000mil","360","Header, 4-Pin, Right Angle"
"COM4","Header 4H","TopLayer","HDR1X4H","3157.052mil","345.000mil","360","Header, 4-Pin, Right Angle"
"COM3","Header 4H","TopLayer","HDR1X4H","3162.244mil","2604.882mil","180","Header, 4-Pin, Right Angle"
"COM2","Header 4H","TopLayer","HDR1X4H","2571.851mil","2604.882mil","180","Header, 4-Pin, Right Angle"
"COM1","Header 4H","TopLayer","HDR1X4H","1996.929mil","2604.882mil","180","Header, 4-Pin, Right Angle"
"COM0","Header 4H","TopLayer","HDR1X4H","1406.753mil","2604.882mil","180","Header, 4-Pin, Right Angle"
"","Header 4","TopLayer","HDR1X4","1411.929mil","1015.000mil","180","Header, 4-Pin"
"","Header 4","TopLayer","HDR1X4","1996.737mil","1015.000mil","180","Header, 4-Pin"
"","Header 4","TopLayer","HDR1X4","2571.659mil","1015.000mil","180","Header, 4-Pin"
"","Header 4","TopLayer","HDR1X4","3162.052mil","1015.000mil","180","Header, 4-Pin"
"","Header 4","TopLayer","HDR1X4","3157.244mil","1899.882mil","180","Header, 4-Pin"
"","Header 4","TopLayer","HDR1X4","2566.851mil","1899.882mil","180","Header, 4-Pin"
"","Header 4","TopLayer","HDR1X4","1991.929mil","1899.882mil","180","Header, 4-Pin"
"","Header 4","TopLayer","HDR1X4","1406.945mil","1899.882mil","180","Header, 4-Pin"
"SWD","SWD","TopLayer","HDR1X4H","271.268mil","1424.370mil","270","Header, 4-Pin, Right Angle"
"P1","USART1/USB_TTL","TopLayer","HDR2X5_CEN","783.715mil","1744.055mil","360","Header, 5-Pin, Dual row"
"D1","1N4148","TopLayer","DO-35","315.315mil","2360.000mil","180","High Conductance Fast Diode"
"C87","104","TopLayer","0603_C","455.000mil","1550.000mil","90","ÌùÆ¬µçÈİ"
"C86","104","TopLayer","0603_C","450.315mil","1154.067mil","360","ÌùÆ¬µçÈİ"
"C85","104","TopLayer","0603_C","1030.000mil","1455.000mil","180","ÌùÆ¬µçÈİ"
"C84","1uF","BottomLayer","0603_C","1169.808mil","960.000mil","90","ÌùÆ¬µçÈİ"
"C83","1uF","BottomLayer","0603_C","1739.808mil","961.035mil","90","ÌùÆ¬µçÈİ"
"C82","1uF","BottomLayer","0603_C","2319.808mil","975.315mil","90","ÌùÆ¬µçÈİ"
"C81","1uF","BottomLayer","0603_C","2884.808mil","990.000mil","90","ÌùÆ¬µçÈİ"
"C80","1uF","BottomLayer","0603_C","2885.000mil","1940.197mil","90","ÌùÆ¬µçÈİ"
"C79","1uF","BottomLayer","0603_C","2315.000mil","1940.197mil","90","ÌùÆ¬µçÈİ"
"C78","1uF","BottomLayer","0603_C","1735.000mil","1940.197mil","90","ÌùÆ¬µçÈİ"
"C77","1uF","BottomLayer","0603_C","1145.000mil","1940.197mil","90","ÌùÆ¬µçÈİ"
"C76","1uF","BottomLayer","0603_C","1144.808mil","203.975mil","90","ÌùÆ¬µçÈİ"
"C75","1uF","BottomLayer","0603_C","1726.742mil","203.975mil","90","ÌùÆ¬µçÈİ"
"C74","1uF","BottomLayer","0603_C","2264.616mil","203.975mil","90","ÌùÆ¬µçÈİ"
"C73","1uF","BottomLayer","0603_C","2849.616mil","203.975mil","90","ÌùÆ¬µçÈİ"
"C72","1uF","BottomLayer","0603_C","2890.000mil","2674.882mil","90","ÌùÆ¬µçÈİ"
"C71","1uF","BottomLayer","0603_C","2320.000mil","2670.197mil","90","ÌùÆ¬µçÈİ"
"C70","1uF","BottomLayer","0603_C","1740.000mil","2657.441mil","90","ÌùÆ¬µçÈİ"
